,high_ast
1614,Mtarc2
1615,Akap11
1616,Pdlim5
1617,Stam
1618,Ndufs3
1619,Apc
1620,Rps12
1621,Ccnc
1622,Syf2
1623,Trim28
1624,Efemp2
1625,Aldh1l1
1626,Dnajc5
1627,Stau1
1628,Nbl1
1629,Rpl35a
1630,Thoc2
1631,U2surp
1632,Scd1
1633,Tiprl
1634,Rap1gds1
1635,Ap3m1
1636,Sort1
1637,Dnajb11
1638,Atl2
1639,Pawr
1640,Btf3
1641,Tvp23b
1642,Rnft1
1643,Cpq
1644,Alg2
1645,Ascl1
1646,Desi2
1647,Pik3r1
1648,Pfkm
1649,Nucb1
1650,Marchf7
1651,Tle3
1652,Mtmr6
1653,Flot1
1654,Sgce
1655,Cpsf3
1656,Ski
1657,Tef
1658,Ddx50
1659,Slc25a23
1660,Dnajc18
1661,Cbfb
1662,Atp6v0b
1663,Wdr26
1664,Egln1
1665,Hnrnpa1
1666,Rab9
1667,Vps4a
1668,Commd6
